Afisare Doctori,2021/07/07 07:51:33
Afisare Doctori,2021/07/07 07:53:33
Afisare Doctori,2021/07/07 07:56:23
Alege alta comanda,2021/07/07 07:56:26
Comanda incorecta,2021/07/07 07:56:26
Afisare pacienti,2021/07/07 07:57:00
Iesire program,2021/07/07 07:57:02
Afisare pacienti,2021/07/07 07:57:11
Alege alta comanda,2021/07/07 07:57:13
Comanda incorecta,2021/07/07 07:57:13
Afisare Doctori,2021/07/07 07:57:15
Iesire program,2021/07/07 07:57:16
Adaugare pacient,2021/07/07 07:58:09
Afisare pacienti,2021/07/07 07:58:15
Alege alta comanda,2021/07/07 07:58:22
Comanda incorecta,2021/07/07 07:58:22
Stergere pacient,2021/07/07 07:58:32
Afisare pacienti,2021/07/07 07:58:35
Iesire program,2021/07/07 07:58:38
Afisare Doctori,2021/07/07 08:19:20
Afisare pacienti,2021/07/07 08:19:22
Stergere pacient,2021/07/07 08:19:41
Afisare pacienti,2021/07/07 08:19:43
Iesire program,2021/07/07 08:19:45
Iesire program,2021/07/07 08:40:52
